Arabic,English,Arabic Pl,English Pl,Example
الإهمال,negligence,,,
التقاعس,negligence,,,
جار,neighbor,جيران,neighbors,
متاخم,neighborhing,,,منطقة الحرش ال* للحدود الإدارية لبورسعيد
حيّ,neighborhood,أحياء,neighborhoods,
متاخم,neighboring,,,الشريط المتاخم للبحر الأحمر
المحسوبية,nepotism,,,
نبتون,neptune,,,
عَصَب,nerve,,,
محايد,neutral,,,
التجرد,neutrality,,,
بلبل,nightingale,بلابل,nightingales,
عندليب,nightingale,عنادل,nightingales,
حَلَمة,nipple,حلمات,nipples,
نجابة,nobility,,,
نَجَب,noble,,,
أزيز,noise,,,الطائرات
نأمة,noise,,,لا نأمة، لا رائحة لحياة
ترشيح,nomination,ترشيحات,nominations,
الظهيرة,noon,,,
خية,noose,,,
أنف,nose,أنوف,noses,
رُعاف,nosebleed,,,
حنين,nostalgia,,,
مِنخار,nostril,مناخير,nostrils,
ملحوظة:,Note:,,,
دفتر,notebook,دفاتر,notebooks,
ملحوظ,noticeable,,,
إخطار,notification,,,
التبليغ,notification,تباليغ,notifications,تباليغ الوفاة.
راهبة,nun,راهبات,nuns,
ممرض,nurse,,,
التمريض,nursing,,,
الغذاء,nutrition,,,
مكسّرات,nuts,,,
بَلّوط,oak,,,
سِنديان,oak,,,
واحة,oasis,واحات,oases,
الرضوخ,obedience,,,يجبره على الموافقع و*
مسلة,obelisk,,,
الوَفِيات,obituaries,,,
ذميم,objectionable,,,
مراقب,observer,,,
عائق,obstacle,معوقات,obstacles,
التعنت,obstinacy,,,بسبب (تعنت) الوزارة
أخطبوط,octopus,,,
تسلل,off-side,,,
مسئ,"offensive, insulting",,,
مهين,"offensive, insulting",,,
قربان,offering,قرابين,offerings,إلى الآلهة
ذُرية,offspring,,,
نسل,offspring,,,
مرهم,ointment,مراهم,ointments,
الشيخوخة,old age,,,
شيوخة,old age,,,
إغفال,omission,,,
جبروت,omnipotence,,,
بالمقابل,on the other hand,,,
مجددا,once again,,,
منفتح,open-minded,,,
عملية,operation,,,
أفيون,opium,,,
غريم,opponent,,,سُحبت منه الميدالية الذهبية ومُنحت إلى *ـه
المناوئون,opponents,,,
الظُلم,oppression,,,
بطش,oppression,,,
تفاؤل,optimism,,,
متفائل,optimistic,,,
البصريات,optometry,,,
وإلا,or else,,,استمع إلي كلامي وإلا ستضر نفسك
وهران,Oran,,,
عادي,ordinary,,,
عضو,organ,أعضاء,organs,
عربدة,orgy,,,
يتيم,orphan,أيتام، يتامى,orphans,
تهجئة,orthography,,,
نعامة,ostrich,نعام,ostriches,
قُضاعة,otter,,,
عود,oud,أعواد,ouds,
علناً,out in the open,,,
لاهث,out of breath,,,يقف لاهثا غارقا في العرق
قديم,out-dated,,,
تفشّ,"outbreak, spread",,,
حصيلة,outcome,,,
ضجّة,outcry,,,
المخرجات,outputs,,,
التعهيد,outsourcing,,,
فرن,oven,أفران,ovens,
مكفهرّ,overcast,,,ليلة داكنة (مكفهرة)
التكدس,overcrowding,,,لمنع * أمام مراكز الاقتراع
الإباضة,ovulation,,,
بومة,owl,بوم,owls,
التملك,owning land,,,
محار,oyster,,,
وتيرة,pace,وتائر,rates,
سكّاتة,pacifier,,,
وثني,pagan,وثنيون,pagans,
الوثنية,paganism,,,
الوثنية,Paganism,,,
ألم,pain,آلام,pains,
وَجَع,pain,أوجاع,pains,
دهان,paint,دهانات,paints,
طلاء,paint,,,
حَنَك,palate,,,
باهت,pale,,,رأاها على ضوء النجوم الباهت
شاحب,pale,,,
شحوب,pallor,,,انداح فوق خدودهم * القلق.
كف,palm,كفوف,palms,
سعفة,palm frond,,,السعفة الذهبية من مهرجان كان السينمائى
منشورات,pamphlets,,,
ذعر,panic,,,
كرار,pantry,,,
سروال,pants,,,
استعراض,parade,,,
فِقرة,paragraph,,,
شلل,paralysis,,,
مشلول,paralyzed,,,
ثوابت,parameters,,,
طُفيلي,parasite,طفيليات,parasites,
الأبوان,parents,,,
رَعية,parish,,,
محمية,park,,,
ببغاء,parrot,ببغاوات,parrots,
جزئيا,partially,,,
فئوي,partisan,,,
رفيق,partner,,,
تمريرة,pass,,,
شَغَف,passion,,,
غَرام,passion,,,
مهزلة,paste,,,
مرعى,pasture,مراعي,pastures,
التريّث,patience,,,يحثهم على *.
صبور,patient,,,
مريض,patient,مرضى,patients,
الوطنية,patriotism,,,
مشجّر,patterned,,,
جندي,pawn,,,
مسالم,peaceful,,,التغير المسالم
الدراق,peaches,,,
طاووس,peacock,طواويس,peacocks,
كُمّثرى,pear,,,
صَدَف,pearl,,,
إجاص,pears,,,
بازلاء,peas,,,
قشرة,peel,,,
خَوض,pelvis,,,
قلم,pen,قلمان,pens,
معاش,pension,,,
نسمة,people,,,حوالى نصف مليون نسمة
أمثاله,people like him,,,
النقر,percussion,,,
عرض,performance,عروض,performances,
ترخيص,permit,تراخيص,permits,
الاضطهاد,persecution,,,
الثبات,perserverence,,,
انحراف,perversion,,,منحرف جنسية
منحرف,pervert,,,
تشاؤم,pessimism,,,
متشائم,pessimistic,,,
عريضة,petition,عرائض,petitions,
بُلعوم,pharynx,,,
طور,phase,أطوار,phases,(طور) جدود من (أطوار) المأساة التي تطحنهم.
مرحلة,phase,مراحل,phases,
بَلغَم,phlegm,,,
تخوف,phobia,,,
صوتم,phoneme,صواتم,phonemes,
مِعول,pickaxe,معاول,pickaxes,منحني على (المعاول)
نشال,pickpocket,,,
النشل,pickpocketing,,,
قِطعة,piece,قِطَع,pieces,
تقوى,piety,,,
خنزير,pig,خنازير,pigs,
معتمر,pilgrim,,,
مخدّة,pillow,مَخادّ,pillows,
بثرة,pimple,بثور,pimples,
دبوس,pin,,,
الصنبور,pine,,,
أناناس,pineapple,,,
زهري,pink,,,
خِنصِر,pinky finger,خناصر,pinky fingers,
ماسورة,pipe,مواسير,pipes,
قرصنة,piracy,,,
الحوت,Pisces,,,
فُستُق,pistachio,,,
هزيل,pitiful,,,
الشفقة,pity,,,
انتحال,plagiarism,,,
سهل,plain,سهول,plains,
التخطيط,planning,,,
فصيل,platoon,,,
توسُّل,plea,,,
أنيس,pleasant,أنَساء,pleasant people,
رجاءً,please,,,
لَذة,pleasure,,,
مُتعة,pleasure,,,
تعهُّد,pledge,,,
زَرَدية,pliers,,,
حبكة,plot,,,صنع * درامية
سبّاك,plumber,,,
التعددية,pluralism,,,
زائد,plus,,,
جَيب,pocket,جيوب,pockets,
منصّة,podium,,,
شاعر,poet,شعراء,poets,
نقطة,point,نقاط,points,
سُم,poison,سموم,poisons,
استقطاب,polarization,,,الاستقطاب السياسي الحاد
مصقول,polished,,,
بوقار,politely,,,يصغي الآخرون بوقار وخشوع
استطلاع,poll,استطلاعات,polls,
بِركة,pond,برك,ponds,
بوشار,popcorn,,,
خشخاش,poppy,,,
سكان,population,,,
نِيص,porcupine,,,
مسام,pore,,,
ميناء,port,موانئ,ports,
كوة,port hole,,,في زنزانة
تجسيد,portrayal,,,
منصب,position,مناصب,positions,
موقف,position,مواقف,positions,
مُلصَق,poster,,,
إناء,pot,أواني,pots,
قِدرة,pot,قدور,pots,
بطاطا,potato,بطاطس,potatoes,
فخّار,pottery,,,
دواجن,poultry,,,
طيور,poultry,,,
بودرة,powder,,,
عملي,practical,,,
الثناء,praise,,,
مديح,praise,,,
دعاء,prayer,أدعية,prayers,""" حسبي الله ونعم الوكيل "" من أعظم الأدعية الواردة في الكتاب والسنة الصحيحة"
ابتهاك,prayer (Christianity),,,
أنبغ,pre-eminent,,,(أنبغ) تلميذ في فصلنا
كارز,preacher,,,
واعظ,preacher,وُعّاظ,preachers,
ديباجة,preamble,,,ديباجة الدستور
نفيس,precious,,,
مأزق,predicament,مآزق,predicaments,
ورطة,predicament,,,سوف تقع في ورطة
تمهيد,preface,,,
اللقط,pregnancy,,,
التحامل,prejudice,,,
التحيّز,prejudice,,,
المساس,prejudice,,,عدم المساس بمحدودي الدخل
امتيازات,prerogatives,,,
وصفة,prescription,وصفات,prescriptions,
التظاهر,pretending,,,
الاستعلاء,pretentiousness,,,
حجّة,pretext,حجج,pretexts,
سائد,prevailing,,,
الوقاية,prevention,,,من مرض
الغرور,pride,,,
الفخر,pride,,,
قسيس,priest,قَساوسة,priests,
كاهن,priest,كَهَنة,priests,
كهنوت,priesthood,,,
رئيسية,primate,رئيسيات,primates,
بدائي,primitive,,,
أمير,prince,أمراء,princes,
فرضية,principle,,,
مبدأ,principle,مبادئ,principles,
طباعة,printer,,,
زنزانة,prison cell,زنزانات,prison cells,
أسير,prisoner,أَسرى,prisoners,
سجين,prisoner,سجناء,prisoners,
امتياز,privilege,,,
ترجيح,probability,,,
مسبار,probe,,,روزيتا (Rosetta) مسبار فضائي أطلقته وكالة الفضاء الأوروبية
إجرائي,procedural,,,اقتراح أجرائي
عملية,process,,,
أنشطة,processes,,,
عمليات,processes,,,
زَفة,procession,,,
موكب,procession,,,لم يتوقف * النعوش ساعة واحدة.
معالج,processor,,,
ثَمَر,produce,ثمار,produce,
منتج,producer,,,
الانتاجية,productivity,,,ضعف الالتزام بالانتاجية يزعجني
منتجات,products,,,
حرفة,profession,حِرَف,professions,
محترف,professional,,,
كفاءة,proficiency,,,
ربح,profit,أرباح,profits,
التربح,profiteering,,,
مبرمج,programmer,,,
ترقية,promotion,,,ترقية السيسي إلى رتبة مشير
ترويج,promotion,,,
برهان,proof,براهين,proof,
دعاية,propaganda,,,
نُبوة,prophecy,,,
الموالون,proponents,,,
مبادرة,proposal,,,
النثر,prose,,,
الرفاهية,prosperity,,,
الرُقي,prosperity,,,
رخاء,prosperity,,,
عاهرة,prostitute,,,
فاجرة,prostitute,,,
قحبة,prostitute,قحاب,prostitutes,
مومس,prostitute,,,
الدَعارة,prostitution,,,
دعوى,prosyletization,,,
زُلاليات,proteins,,,
بروتستانتي,Protestant,البروتستانت,Protestants,
محتجون,protestors,,,
محاذاة,proximity,,,
مَزمور,psalm,مزامير,psalms,
البطالمة,Ptolemies,,,
منبر,pulpit,منابر,pulpits,
ذبذبة,pulse,,,
طُلُمبة,pump,,,
مِضخّة,pump,,,
قرعة,pumpkin,,,
الترقيم,punctuation,,,
حريف,pungent,,,طعامه مالح * لاسع
العقاب,punishment,,,
عقوبة,punishment,عقوبات,punishments,
قصاص,punishment,,,
بؤبؤ,pupil,,,
حَدَقة,pupil,حدقات,pupils,
جرو,puppy,جراء,puppies,
مَطهَر,purgatory,,,
نقاوة,purity,,,
أرجواني,purple,,,
صديد,pus,,,
سُمّان,quails,,,
مؤهلات,qualifications,,,
كيفي,qualitative,,,
كمي,quantitative,,,
استبيان,questionnaire,,,
حاخام,rabbi,,,
أرنب,rabbit,أرانب,rabbits,
سباق,race,,,
مسابقة,race,,,
جواد,race horse,جيدان,race horses,
العنصرية,racism,,,
العِرقية,racism,,,
الإشعاع,radiation,,,
فُجل,radish,فجول,radishes,
خِرقة,rag,خِرَق,rags,خِرقةٌ تلفّ نفسك بها
مداهمة,raid,,,
علاوة,raise,,,
زبيب,raisin,,,
رجب,Rajab,,,
كبش,ram,أكباش,rams,
رمضان,Ramadan,,,
الشحناء,rancor,,,يحافظ على مقدار عالٍ من الشّحْناء
رتبة,rank,رتب,ranks,
فدية,ransome,,,
جُرَذ,rat,جرذان,rats,
معدل,rate,معدلات,rates,
جراية,ration,,,
عقلنة,rationalization,,,
حَشرَجَة,rattling,,,
واقعي,realistic,,,
الواقع,reality,,,
موجب,reason,,,
عاقل,reasonable,عقلاء,reasonable people,
متمرد,rebel,,,
تمرد,rebellion,,,
مؤخّراً,recently,,,
ركود,recession,,,
وصفة,recipe,,,
تلاوة,reciting,,,تلاوة أيات من القرآن
أهوج,reckless,,,يعيش طور مغامرة (هوجاء).
متهوّر,reckless,,,
الاستهتار,recklessness,,,
طيش,recklessness,,,
إنعاش,recovery,,,
مستطيل,rectangle,مستطيلات,rectangles,
المستقيم,rectum,,,
استعادة,recuperation,,,
شفيع,redeemer,,,الله خالقنا و*نا.
الفداء,redemption,,,
تقليص,reducing,,,يريد * دوره
شعبة,reef,شعاب,reefs,شعاب مرجانية
حَكَم,referee,حكّام,referees,
استفتاء,referendum,استفتاءات,referendums,
إصلاح,reform,إصلاحات,reforms,
إباء,refusal,,,
بشأن,regarding,,,
فوج,regiment,أفواج,regiments,
إقليم,region,أقاليم,regions,
صُقع,region,أصقاع,regions,يتشرد في (أصقاع) الأرض
سِجِلّ,registry,,,
الندامة,regret,,,
بانتظام,regularly,,,يحضر صلاة الجمعة في المسجد *
بتواتر,regularly,,,نسمع بتواتر أصوات القذائف
لائحة,regulation,لوائح,regulations,
تأهيل,rehabilitation,,,
بروفة,rehearsal,,,بدون بروفة
لجام,reins,,,شد ال* فتوقف العربة.
انتكاس,relapse,,,
قريب,relative,أقرباء,relatives,
استرح!,Relax!,,,
الاسترخاء,relaxation,,,
الغَوث,relief,,,
التلكؤ,reluctance,,,* عند الوصول
كرها,reluctantly,,,
بقية,remainder,بقايا,remains,
رفات,remains,,,الموتى
هدأة,remission,,,
تعويضات,reparations,,,
مراراً,repeatedly,,,
التوبة,repentence,,,
تكرار,repetition,,,
نائب,representative,نواب,representatives,
القمع,repression,,,
التكاثر,reproduction,,,
زاحف,reptile,زواحف,reptiles,
ممجوج,repugnant,,,
سَمِج,repulsive,,,
سُمعة,reputation,,,
متطلّبات,requirements,,,
تحفظ,reservation,تحفظات,reservations,
مقاومة,resistance,,,
مورد,resource,موارد,resources,
تحية,respects,,,
ترميم,restoration,,,
استئناف,resuming,,,
إنعاش,resuscitation,,,
الاعتزال,retirement,,,
الوحي,revelation,,,
الانتقام,revenge,,,
الثأر,revenge,,,
إيراد,revenue,إيرادات,revenues,
مراجعات,reviews,,,
إحياء,revival,,,
صحوة,revival,,,* النساء
كركدَنّ,rhinoceros,,,
القافية,rhyme,,,
ضلع,rib,ضلوع,ribs,
أرز,rice,,,
أحجية,riddle,,,
حظورة,riddle,,,
لُغز,riddle,,,
سخيف,ridiculous,سخفاء,ridiculous people,
بندقية,rifle,بنادق,rifles,بندقية قناصة
صدع,rift,صدوع,rifts,
إثر,right after,,,
خاتم,ring,خواتم,rings,
بِنصر,ring finger,بناصر,ring fingers,
غلاء,rise in prices,,,
تناحُر,rivalry,,,
نهر,river,أنهار,rivers,
الرياض,Riyadh,,,
محمّر,roasted,,,
رداء,robe,,,تلبس (رداء) قصيرا بمقاييس ذلك الوقت
صخرة,rock,صخور,rocks,
صاروخ,rocket,صواريخ,rockets,
قارض,rodent,قوارض,rodents,
شوبك,rolling pin,شوابك,rolling pins,
رومانسي,romance,,,
قلعة,rook,,,
حجرة,room,حجرات,rooms,
ديك,rooster,ديوك,roosters,
مسبحة,rosary,مسابح,rosaries,
وردة,rose,ورود,roses,
دوران,rotation,,,الشمس
متعفّن,rotton,,,لحمجثث
التجديف,rowing,,,
ياقوت,ruby,,,
بفظاظة,rudely,,,صاخ *،
الهَلاك,ruin,,,
أطلال,ruins,,,
حُطام,ruins,,,
مسطرة,ruler,مساطر,rulers,
مجترّ,ruminant,,,
إشاعة,rumor,,,
عدّاء,runner,,,العداء الكندي
زكيبة,sack,زكائب,sacks,زكائب من العيش المقدد
سَرج,saddle,,,
الأتراح,sadness,,,في الأفراح والأتراح
صفر,Safar,,,
الأمان,safety,,,
السلامة,safety,,,
القوس,Sagittarius,,,
الشراع,sailing,,,
قِدّيس,saint,قديسون,saints,
راتب,salary,رواتب,salaries,
مرتب,salary,,,
مُلُوحَة,salinity,,,
ريق,saliva,أرياق,saliva (pl),
لُعاب,saliva,,,
مِلح,salt,,,
عينات,samples,,,* السموم.جمع ال* من مسرح الوفاء.
صنعاء,Sana'a,,,
جزاءات,sanctions,,,
عقوبات,sanctions,,,
هيكل,sanctuary,هياكل,sanctuaries,
زحل,saturn,,,
مخلِّص,savior,,,
منشار,saw,مناشير,saws,
جَرَب,scabies,,,
فضيحة,scandal,فضائح,scandals,
نَدبة,scar,أنداب,scars,
جعران,scarab,,,
شُح,scarcity,,,شح مصادر المياه
مرتعب,scared,,,
وشاح,scarf,أوشحة,scarves,
قرمزي,scarlet,,,
مبعثَر,scattered,,,
صولجان,sceptre,,,
بيلهارسيا,Schistosomiasis,,,German physician Theodor Bilharz
انفصام,schizophrenia,,,
منحة,scholarship,منح,scholarships,
التمدرُس,schooling,,,
مقصّ,scissors,مقاصّ,multiple pairs of scissors,
كبشة,scoop,,,
حيز,"scope, realm",أحياز,"scopes, realms",
عقربة,scorpion,عقارب,scorpions,
العقرب,Scorpius,,,
خَدش,scratch,خدوش,scratches,
صَرَخة,scream,صَرَخات,screams,
زعيق,screaming,,,
لَقطة,screenshot,,,
برغي,screw,براغي,screws,
مِفكّ,screwdriver,مفكّات,screwdrivers,
سيناريو,script,,,
وازع,scruple,,,
منجل,scythe,مناجل,scythes,
بحر,sea,بحار,seas,
نَورس,sea gulls,نوارس,sea gulls,
طائفة,sect,طوائف,sects,
شريحة,section,شرائح,sections,
عِلماني,secular,,,
العلمانية,secularism,,,
رواسب,sediment,,,
بِذرة,seed,بذور,seeds,
شتلة,seedling,شتول,seedlings,
غَرس,seedling,أغراس,seedlings,
غيري,selfless,,,
خَرَف,senility,,,
حاسّة,sense,حَواسّ,senses,
العقلانية,sensibility,,,
حسّاس,sensitive,,,
مستشعر,sensor,مستشعرات,sensors,نوع جديد من (مستشعر) الكاميرات المخصصة للأجهزة المحمولة
الشهوانية,sensuality,,,
حُكم,sentence,أحكام,sentences,
أيلول,September,,,
رقيب,sergeant,,,
سِلسِلة,series,سلاسل,multiple series,
وعظة,sermon,,,
خادم,servant,خَدَم,servants,
مزوِّد,server,,,
جلسة,session,جلسات,sessions,
دورة,session,دورات,sessions,
انتكاسة,setback,,,
استيطانية,settlement,,,
مستوطنة,settlement,,,
مجاري,sewage,,,
شعبان,Shaban,,,
سهم,"share, stock",أسهم,"shares, stocks",
مساهم,shareholder,مساهمون,shareholders,
شوال,Shawwal,,,
حَمَل,sheep,,,
شاء,sheep,,,
غنم,sheep,أغنام,sheep (pl),
رفّ,shelf,رفوف,shelves,
قذيفة,shell,قذائف,shells,
قوقعة,shell,قواقع,shells,
إيواء,shelter,,,
ملجأ,shelter,ملاجئ,shelters,
درع,shield,دروع,shields,
شيعي,shiite,شيعة,shiites,
قَصَبة,shin,,,
سفينة,ship,سفن,ships,
رَعشة,shiver,,,
ارتياع,shock,,,نمنم بـ*.
صدمة,shock,صدمات,shocks,
مذهول,shocked,,,
الرماية,shootingarchery,,,
دكّان,shop,دكاكين,shops,
قصير,short,قُصار,short people,
تسديدة,shot,,,
حقنة,shotinjection,حُقَن,shots,
عاتق,shoulder,عواتق,shoulders,
كتف,shoulder,أكتاف,shoulders,
فرّامة,shredder,,,
فَطِن,shrewd,,,إن الزوج الفطن هو الذي يشغل زوجته في البيت
روبيان,shrimp,,,
مزار,shrine,مزارات,shrines,
رجفة,shudder,,,
متوقف,shut down,,,مفاعل نووي
خجول,shy,,,
طرف,side,أطراف,sides,
ضلع,"side, involvement",ضلوع,sides,
تنهيدة,sigh,تناهيد,sighs,
زفير,sigh,,,صوت زفيري بالنفس
الأبصار,sight,,,
يافطة,sign,يافطات,signs,
مدلول,significance,,,هل له أي (مدلول)؟
السيخية,Sikhism,,,
حرير,silk,حرائر,silks,
فضّة,silver,,,
تشبيه,similie,,,
المحاكاة,simulation,,,
ذنب,sin,ذنوب,sins,
فِسق,sin,,,بؤرة *
مغسلة,sink,مغاسل,sinks,
أخت,sister,أخَوات,sisters,
اعتصامات,sit-ins,,,
حجم,size,أحجام,sizes,
مقاس,size,مقاسات,sizes,
مزلّج,skiier,,,
التزلّج,skiing,,,
البراعة,skill,,,
جلد,skin,جلود,skins,
مناوشات,skirmishes,,,
تنّورة,skirt,تنّورات,skirts,
جمجمة,skull,جماجم,skulls,
ضُربان,skunk,,,
سمائي,sky blue,,,
واشٍ,slanderer,وشاة,slanderers,
صفعة,slap,صفعات,slaps,صفع زوجه صفعة كادت تفقدها الحياة
سلخانة,slaughterhouse,,,
الاسترقاق,slavery,,,
العبودية,slavery,,,
روبصة,sleepwalking,,,
كمّ,sleeve,أكمام,sleeves,
شريحة,slice,شرائح,slices,
خُفّ,slipper,خفاف / أخفاف,slippers,
شعار,slogan,شعارات,slogans,
تؤدة,slowness,,,
الرقاد,slumber,,,تستسلم للرقاد.
عشوائيات,slums,,,
مكّار,sly,,,
قارب,small boat,قوارب,small boats,
جُدري,smallpox,,,
الشمّ,smell,,,
التهريب,smuggling,,,
حلزون,snail,,,
أفعى,snake,أفاع,snakes,
ثعبان,snake,ثعابين,snakes,
عطسة,sneeze,,,
قناص,sniper,قناصة,snipers,
خرخرة,snoring,,,
الاشتراكية,socialism,,,
جورب,sock,جوارب,socks,
اللواط,sodomy,,,تأييد حبس المعارض الماليزي أنور إبراهيم بتهمة *
أريكة,sofa,أرائك,sofas,
برمجيات,software,,,
تُربة,soil,,,
السلوان,solace,,,لأسرته الصبر وال*
جُندي,soldier,جُنود,soldiers,
صُلب,solid,,,
التكافل,solidarity,,,في حملة (تكافل) اجتماعي
تضامُن,solidarity,,,
عزلة,solitude,,,
نجل,son,أنجال,sons,
سافل,son of a bitch,,,
صِهر,son-in-law,أصهار,sons-in-law,
عندلة,song of the nightingale,,,
السُخام,soot,,,نكتب بالفحم على دفاتر الـ*.
ساحر,sorcerer,سحرة,sorcerers,
مشعوذ,sorcerer,,,
أسى,sorrow,,,
حساء,soup,,,
حامض,sour,,,
سيادة,sovereignty,,,
بستوني,spades,,,
رُمح,spear,رِماح,spears,
اختصاصي,specialist,اختصاصيون,specialists,
طَيف,spectrum,,,عبر ال* الإثني الديني
خطاب,speech,خطابات,speeches,
مطبّ,speed bump,مطبّات,speed bumps,
نُطفة,sperm,,,
تابل,spice,توابل,spices,
عنكبوت,spider,عناكب,spiders,
سبانخ,spinach,,,
عانس,spinster,عوانس,spinsters,
طِحال,spleen,,,
رَونَق,splendor,,,رفع مستوي النظافة والجمال بمدينة الإسكندرية، وإعادة رونقها الجمالي
شظية,splinter,شظايا,splinters,
سفنج,sponge,,,
برعاية,sponsored by,,,
بالبداهة,spontaneously,,,
مِلعقة,spoon,ملاعق,spoons,
عقيلة,spouse,,,
رذاذ,sprinkle,,,
يَقطين,sqash,,,
مربّعة,square,مربّعات,squares,
قرفصاء,squatting,,,
حبّار,squid,,,
استاد,stadium,,,
أيِّل,stag,أيائل,stags,
مرحلة,stage,مراحل,stages,
الجمود,stalemate,,,
معيار,standard,معايير,standards,
مقطوعة,stanza,مقطوعات,stanzas,
التضوّر,starvation,,,
مجاعة,starvation,,,
بيان,statement,بيانات,statements,
تصريح,statement,تصريحات,statements,
إحصائيات,statistics,,,
تمثال,statue,,,
بخار,steam,,,
باخرة,steamer,بواخر,steamers,
صلب,steel,,,
فُلاذ,steel,,,
خَطوة,step,خطوات,steps,
العُقم,sterility,,,
التعقيم,sterilization,,,
سمّاعة,stethoscope,,,
تحفيز,stimulus,,,اتخد البنك المزيد من اجراءات التحفيز
قرصة,stingbite,قرصات,stingsbites,ناموسحشرات
رعّاد,stingray,,,
شحيح,stingy,,,
إعانة,stipend,,,* تعليمية
غُرزة,stitch,غُرَز,stitches,
مخزنة,stockpile,مخازن,stockpiles,
مَعِدة,stomach,مِعَد,stomachs,
حجر,stone,حجارة,stones,
التخزين,storage,,,منطقة *.
لَقلَق,stork,لقالق,storks,
عاصفة,storm,عواصف,storms,
موقد,stove,مواقد,stoves,
مصفاة,strainer,مصافٍ,strainers,
غريب,stranger,غرباء,strangers,
شفّاطة,straw,,,
الإجهاد,stress,,,كيف تتعامل مع الإجهاد
مقلّم,striped,,,
عنيد,stubborn,عُنُد,stubborn people,
تعنُت,stubbornness,,,
محشي,stuffed,,,
حشوة,stuffing,,,
جِذع,stump,جذوع,stumps,
البلادة,stupidity,,,تلك هي * بعينها
بلاهة,stupidity,,,فالت ببلاهة،
غباوة,stupidity,,,
مادة,subject,مواد,subjects,
اعتباري,subjective,,,
ذاتي,subjective,,,
رعايا,subjects,,,
فحوى,substance,,,
جوهري,substantial,,,
موضوعي,substantive,,,اقتراح موضوعي )غير إجرائي(
الطرح,subtraction,,,
ضاحية,suburb,الضواحي,the suburbs,
بالتناوب,successively,,,
مفاجئ,sudden,,,
مُعان,suffering,,,(معان) سامية
انتحاري,suicide bomber,,,
بدلة,suit,بِدَل,suits,
ملخّص,summary,,,
قمّة,summit,قمّات,summits,
سُنّي,sunni,سُنة,sunnis,
غراء,superglue,,,
أعلى,superior,,,نحن الأعلى وأنتم الأدنى
تشاؤُم,superstition,,,
توريد,supply,,,
تحميلة,suppository,تحاميل,suppositories,
جراح,surgeon,,,
جراحة,surgery,,,
فائض,surplus,,,
وفورات,surpluses,,,
مستغرِب,surprised,,,
خلسةً,surreptitiously,,,
اشتباه,suspicion,,,
ريبة,suspicion,,,باتت تنظر إلى الولايات المتحدة بكثير من الريبة
سُنونو,swallow,,,
مستنقَع,swamp,مستنقعات,swamps,
بجعة,swan,بجع,swans,
انتفاخ,swelling,,,البطن
تورم,swelling,,,
السباحة,swimming,,,
نصّاب,swindler,,,
جُميز,sycamore,,,
ندوة,symposium,ندوات,symposiums,
عَرَض,symptom,أعراض,symptoms,
كنيس,synagogue,كنس,synagogues,
زُهَري,syphilis,,,
شراب,syrup,أشربة,syrups,
مائدة,table,,,
قُرص,tablet,أقراص,tablets,أقراص الفيتامينات
لَباقة,tact,,,تراجعت بـ* قائلة،
شرغوف,tadpole,,,
ذيل,tail,ذيول,tails,
ذَنَب,tailbone,,,
خيّاط,tailor,,,
موهبة,talent,مواهب,talents,
مباحثات,talks,,,
طويل,tall,طُوال,tall people,
دبابة,tank,,,
مهمة,task,مهام,tasks,
التذوق,taste,,,
وشم,tattoo,وشوم,tattoos,
الثور,Taurus,,,
ضريبة,tax,ضرائب,taxes,
دِرة,teat,دِرَر,teats,
صُدغ,temple,أصداغ,temples,
معبد,temple,معابد,temples,
الإغراء,temptation,,,
مغرٍ,tempting,,,
وَتَر,tendon,,,
خيمة,tent,خِيام,tents,
ولاية,term,,,
تضاريس,terrain,,,
مفزع,terrifying,,,
نسيج,textile,,,
الإغريق,the Ancient Greeks,,,
القعر,the bottom,,,ضعي البصل المقلي في القعر
البرودة,the cold,,,
الجالية,the community,,,- العربية- المصرية- اليهودية
الوجدان,the conscience,,,الموت يعصف بالوجدان
يافوخ,the crown of the head,يوافيخ,crowns of the head,
الأفتك,the deadliest,,,أعنى وأفتك أنواع الأسلحة
الشيطان,the devil,شياطين,devils,
الأخيار,the good guys,,,
الإنجيل,the Gospels,,,
الحرارة,the heat,,,
رمضاء,the hottest time of the day,,,
المأسوف,"the late, the deceased",,,
الجماهير,the masses,,,
المسيح,the messiah,,,
الأعنى,the most poweful,,,أعنى وأفتك أنواع الأسلحة
البحرية,the Navy,,,
النقب,the Negev,,,
الفراعنة,the Pharaohs,,,
المشيمة,the placenta,,,
المشركون,the polytheists,,,
البابا,the Pope,,,
المطبعة,the printing press,,,
الادّعاء,the prosecution,,,
الثمالة,the rest,,,شربنا ثمالة الأكواب بسرعة
السلفية,the Salafist movement,,,
السلفيون,the salafists,,,
الأدهى,the shrewdest,,,أدهى وزير
اللاشُعور,the subconscious,,,
الرافدان,the tigris and euphrates,,,
اللوزتان,the tonsils,,,
التوراة,the Torah,,,
المنبوذون,the untouchables,,,
الخَوَر,the weakness of age,,,
أرذل,the worst part,,,حتى لو بلغ (أرذل) العمر
مسرح,theater,مسارح,theaters,
سرقة,theft,,,
الإلهيات,theology,,,
سميك,thick,,,طبقةنظارةقماش
غليظ,thick,,,
فَخِذ,thigh,أفخاذ,thighs,
رقيق,thin,رقاق,thin people,
نحيف,thin,,,رجل * الجسم
نحيل,thin,,,رجل * الجسم
ظمآن,thirsty,,,
